SampleID	Population
AFR___ESN___HG03175	African
AFR___ESN___HG03189	African
AFR___ESN___HG03190	African
AFR___ESN___HG03193	African
AFR___ESN___HG03195	African
AFR___ESN___HG03196	African
AFR___ESN___HG03198	African
AFR___ESN___HG03199	African
AFR___ESN___HG03202	African
AFR___ESN___HG03265	African
AFR___ESN___HG03267	African
AFR___ESN___HG03268	African
AFR___ESN___HG03270	African
AFR___ESN___HG03271	African
AFR___ESN___HG03279	African
AFR___ESN___HG03280	African
AFR___ESN___HG03291	African
AFR___ESN___HG03294	African
AFR___ESN___HG03295	African
AFR___ESN___HG03297	African
AFR___ESN___HG03298	African
AFR___ESN___HG03300	African
AFR___ESN___HG03301	African
AFR___ESN___HG03303	African
AFR___ESN___HG03304	African
AFR___ESN___HG03311	African
AFR___ESN___HG03313	African
AFR___ESN___HG03342	African
AFR___ESN___HG03343	African
AFR___ESN___HG03351	African
AFR___ESN___HG03352	African
AFR___ESN___HG03354	African
AFR___ESN___HG03363	African
AFR___ESN___HG03366	African
AFR___ESN___HG03367	African
AFR___ESN___HG03369	African
AFR___ESN___HG03370	African
AFR___ESN___HG03372	African
AFR___ESN___HG03499	African
AFR___ESN___HG03511	African
AFR___ESN___HG03514	African
AFR___ESN___HG03515	African
AFR___ESN___HG03517	African
AFR___ESN___HG03518	African
AFR___ESN___HG03520	African
AFR___ESN___HG03521	African
AFR___GWD___HG02461	African
AFR___GWD___HG02462	African
AFR___GWD___HG02464	African
AFR___GWD___HG02465	African
AFR___GWD___HG02561	African
AFR___GWD___HG02562	African
AFR___GWD___HG02568	African
AFR___GWD___HG02570	African
AFR___GWD___HG02571	African
AFR___GWD___HG02573	African
AFR___GWD___HG02574	African
AFR___GWD___HG02582	African
AFR___GWD___HG02583	African
AFR___GWD___HG02585	African
AFR___GWD___HG02586	African
AFR___GWD___HG02588	African
AFR___GWD___HG02589	African
AFR___GWD___HG02594	African
AFR___GWD___HG02595	African
AFR___GWD___HG02610	African
AFR___GWD___HG02611	African
AFR___GWD___HG02613	African
AFR___GWD___HG02614	African
AFR___GWD___HG02620	African
AFR___GWD___HG02621	African
AFR___GWD___HG02623	African
AFR___GWD___HG02624	African
AFR___GWD___HG02628	African
AFR___GWD___HG02629	African
AFR___GWD___HG02634	African
AFR___GWD___HG02635	African
AFR___GWD___HG02642	African
AFR___GWD___HG02643	African
AFR___GWD___HG02645	African
AFR___GWD___HG02646	African
AFR___GWD___HG02666	African
AFR___GWD___HG02667	African
AFR___GWD___HG02675	African
AFR___GWD___HG02676	African
AFR___GWD___HG02678	African
AFR___GWD___HG02679	African
AFR___GWD___HG02702	African
AFR___GWD___HG02703	African
AFR___GWD___HG02715	African
AFR___GWD___HG02716	African
AFR___GWD___HG02721	African
AFR___GWD___HG02722	African
AFR___GWD___HG02756	African
AFR___GWD___HG02757	African
AFR___GWD___HG02759	African
AFR___GWD___HG02760	African
AFR___GWD___HG02763	African
AFR___GWD___HG02768	African
AFR___GWD___HG02769	African
AFR___GWD___HG02771	African
AFR___GWD___HG02772	African
AFR___GWD___HG02798	African
AFR___GWD___HG02799	African
AFR___GWD___HG02804	African
AFR___GWD___HG02805	African
AFR___GWD___HG02807	African
AFR___GWD___HG02808	African
AFR___GWD___HG02810	African
AFR___GWD___HG02811	African
AFR___GWD___HG02813	African
AFR___GWD___HG02814	African
AFR___GWD___HG02816	African
AFR___GWD___HG02817	African
AFR___GWD___HG02819	African
AFR___GWD___HG02820	African
AFR___GWD___HG02836	African
AFR___GWD___HG02837	African
AFR___GWD___HG02839	African
AFR___GWD___HG02840	African
AFR___GWD___HG02851	African
AFR___GWD___HG02852	African
AFR___GWD___HG02854	African
AFR___GWD___HG02855	African
AFR___GWD___HG02860	African
AFR___GWD___HG02861	African
AFR___GWD___HG02870	African
AFR___GWD___HG02878	African
AFR___GWD___HG02879	African
AFR___GWD___HG02881	African
AFR___GWD___HG02882	African
AFR___GWD___HG02884	African
AFR___GWD___HG02885	African
AFR___GWD___HG02887	African
AFR___GWD___HG02888	African
AFR___GWD___HG02890	African
AFR___GWD___HG02891	African
AFR___GWD___HG02895	African
AFR___GWD___HG02896	African
AFR___GWD___HG02982	African
AFR___GWD___HG02983	African
AFR___GWD___HG03024	African
AFR___GWD___HG03025	African
AFR___GWD___HG03027	African
AFR___GWD___HG03028	African
AFR___GWD___HG03039	African
AFR___GWD___HG03040	African
AFR___GWD___HG03045	African
AFR___GWD___HG03046	African
AFR___GWD___HG03048	African
AFR___GWD___HG03049	African
AFR___GWD___HG03240	African
AFR___GWD___HG03241	African
AFR___GWD___HG03246	African
AFR___GWD___HG03247	African
AFR___GWD___HG03258	African
AFR___GWD___HG03259	African
AFR___GWD___HG03538	African
AFR___GWD___HG03539	African
AFR___LWK___NA19017	African
AFR___LWK___NA19019	African
AFR___LWK___NA19020	African
AFR___LWK___NA19023	African
AFR___LWK___NA19024	African
AFR___LWK___NA19025	African
AFR___LWK___NA19026	African
AFR___LWK___NA19027	African
AFR___LWK___NA19028	African
AFR___LWK___NA19030	African
AFR___LWK___NA19031	African
AFR___LWK___NA19035	African
AFR___LWK___NA19036	African
AFR___LWK___NA19037	African
AFR___LWK___NA19038	African
AFR___LWK___NA19041	African
AFR___LWK___NA19042	African
AFR___LWK___NA19043	African
AFR___LWK___NA19044	African
AFR___LWK___NA19307	African
AFR___LWK___NA19308	African
AFR___LWK___NA19309	African
AFR___LWK___NA19310	African
AFR___LWK___NA19312	African
AFR___LWK___NA19314	African
AFR___LWK___NA19315	African
AFR___LWK___NA19316	African
AFR___LWK___NA19317	African
AFR___LWK___NA19318	African
AFR___LWK___NA19319	African
AFR___LWK___NA19320	African
AFR___LWK___NA19321	African
AFR___LWK___NA19323	African
AFR___LWK___NA19324	African
AFR___LWK___NA19327	African
AFR___LWK___NA19328	African
AFR___LWK___NA19331	African
AFR___LWK___NA19332	African
AFR___LWK___NA19334	African
AFR___LWK___NA19338	African
AFR___LWK___NA19346	African
AFR___LWK___NA19347	African
AFR___LWK___NA19350	African
AFR___LWK___NA19351	African
AFR___LWK___NA19355	African
AFR___LWK___NA19359	African
AFR___LWK___NA19360	African
AFR___LWK___NA19371	African
AFR___LWK___NA19372	African
AFR___LWK___NA19374	African
AFR___LWK___NA19375	African
AFR___LWK___NA19376	African
AFR___LWK___NA19377	African
AFR___LWK___NA19378	African
AFR___LWK___NA19379	African
AFR___LWK___NA19380	African
AFR___LWK___NA19383	African
AFR___LWK___NA19384	African
AFR___LWK___NA19385	African
AFR___LWK___NA19390	African
AFR___LWK___NA19391	African
AFR___LWK___NA19393	African
AFR___LWK___NA19394	African
AFR___LWK___NA19395	African
AFR___LWK___NA19397	African
AFR___LWK___NA19398	African
AFR___LWK___NA19399	African
AFR___LWK___NA19401	African
AFR___LWK___NA19403	African
AFR___LWK___NA19404	African
AFR___LWK___NA19428	African
AFR___LWK___NA19429	African
